,Net profit before tax/Paid-in capital,ROA(C) before interest and depreciation before interest,Liability to Equity,Current Liabilities/Equity,Borrowing dependency,Current Liability to Equity,ROA(B) before interest and depreciation after tax,Persistent EPS in the Last Four Seasons,Inventory and accounts receivable/Net value,ROA(A) before interest and \% after tax,Clusters,Classification
35,35,0.265281652967348,0.611368400526495,0.278618074086935,0.329011332317364,0.375710997734201,0.329011332317364,0.668933026393276,0.330906684315023,0.393737867134319,0.684419973833406,1
36,36,0.187014553955207,0.495003168722274,0.277051991392462,0.328305964676193,0.371142494794032,0.328305964676193,0.543765726216607,0.227474709274842,0.397848137048296,0.573320976886175,1
37,37,0.184510972023226,0.574172475990835,0.276130360960965,0.327602407186197,0.370201953552249,0.327602407186197,0.620589967343005,0.24146733478302,0.395703240655768,0.574956389010031,1
38,38,0.211514968705226,0.514600497245649,0.279113462764667,0.331380170536894,0.372978842854682,0.331380170536894,0.557952781198137,0.255176325990356,0.403576792247827,0.566506759703445,1
39,39,0.163562325616469,0.459220981816409,0.289837573005631,0.343406518969606,0.380583694750192,0.343406518969606,0.512232988918036,0.208849390186253,0.416289423021531,0.524040558220672,1
40,40,0.185581781162808,0.580851167552284,0.277889419322195,0.327952267238297,0.373275208406493,0.327952267238297,0.620482895229937,0.233052850524723,0.396367743223347,0.578772350632359,1
41,41,0.165726566623935,0.474089601715985,0.275858646423631,0.326679351101054,0.36963718146295,0.326679351101054,0.529257454895872,0.21159118842772,0.395262471815579,0.51422808547754,1
42,42,0.173516326068924,0.544825232779213,0.288713338064494,0.336265804377544,0.385421722588423,0.336265804377544,0.604796830665453,0.223125649995273,0.394512226981216,0.548244657653729,1
43,43,0.181185430962974,0.510554282650027,0.281922928342483,0.331371150918684,0.375735601666805,0.331371150918684,0.563574067134215,0.228420156944313,0.408977215332325,0.575283471434802,1
44,44,0.174428776110399,0.489933213084386,0.275547321636522,0.32693409750568,0.370509502709788,0.32693409750568,0.546014240591038,0.221423844190224,0.394539021439586,0.560837331007414,1
45,45,0.206492723022396,0.529956612879637,0.279693226865273,0.330834157707249,0.373352375286021,0.330834157707249,0.589003693987901,0.261794459676657,0.402001278095664,0.599378543392935,1
46,46,0.209539250433602,0.540145273728855,0.282222982584391,0.334870610987744,0.372823390735054,0.334870610987744,0.584613737352107,0.254514512621726,0.40408588695686,0.599705625817706,1
47,47,0.301998340999925,0.630283235021694,0.282868909501293,0.33424594833153,0.376144921636475,0.33424594833153,0.662562235665721,0.346884749929091,0.408072902362333,0.675806803314435,1
48,48,0.167551466706885,0.488031979720177,0.275548944702222,0.326947205540937,0.36963718146295,0.326947205540937,0.532844370683655,0.213198449465822,0.398942690672715,0.519134321849106,1
49,49,0.172618957846316,0.493589431092478,0.276402948959219,0.328025690661548,0.36963718146295,0.328025690661548,0.542695005085925,0.218682045948757,0.399232070823112,0.543665503706934,1
50,50,0.176140562551844,0.493248184078389,0.281250063898457,0.332924580772431,0.370626930569939,0.332924580772431,0.538037368167461,0.223314739529167,0.408776256894549,0.541703009158308,1
51,51,0.188138149460825,0.495685662750451,0.282678996390603,0.335777073557483,0.380244831496612,0.335777073557483,0.549440548209219,0.237118275503451,0.414448643731503,0.567433493240296,1
52,52,0.163094789231581,0.44303612343392,0.276091541405151,0.327178642692104,0.371255449211891,0.327178642692104,0.487767011081964,0.206863950080363,0.394446580558209,0.489478848669865,1
53,53,0.196727245305784,0.556086384244138,0.275247256072439,0.326851809159291,0.36963718146295,0.326851809159291,0.603726109534772,0.244492767325329,0.395653670907783,0.620039249890972,1
54,54,0.190370258653194,0.545605225954273,0.277632882214933,0.32960800727021,0.36963718146295,0.32960800727021,0.581348037903528,0.234281932495036,0.399629968529909,0.583787614478849,1
55,55,0.18714274941558,0.507239311656023,0.282177804006366,0.328121197333181,0.3796476269507,0.328121197333181,0.556560843728251,0.231351044719675,0.39935934450037,0.568632795464457,1
56,56,0.170794057763366,0.487300736118559,0.277923314015749,0.328343510575966,0.373725907717359,0.328343510575966,0.541677820011778,0.216129337241184,0.400264997193281,0.540830789358918,1
57,57,0.179503808159264,0.51464924681909,0.282571936696769,0.332296932631343,0.37984222169038,0.332296932631343,0.557310348519728,0.223409284296114,0.40445297103653,0.570050152638465,1
58,58,0.180220194555463,0.505094330424609,0.282725282399145,0.335838838825177,0.378591894569912,0.335838838825177,0.546870817495583,0.22388200813085,0.413119638596346,0.561873092019189,1
59,59,0.18708242214011,0.545751474674597,0.275239419294607,0.326758967802103,0.36963718146295,0.326758967802103,0.591894641040741,0.233525574359459,0.396766980653061,0.604829917139119,1
60,60,0.179390694517759,0.48418076341832,0.279072285352438,0.329976436528846,0.37568303871988,0.329976436528846,0.537127255206381,0.216885695376761,0.402180800966744,0.571031399912778,1
61,61,0.178093658095166,0.515965485302004,0.278521585946032,0.330286500549017,0.371785552123431,0.330286500549017,0.56587611756518,0.223409284296114,0.405639965542327,0.562963366768426,1
62,62,0.188062740366488,0.506654316774728,0.282052398425687,0.334547972762342,0.374041285398908,0.334547972762342,0.553348680336206,0.233525574359459,0.402463482502549,0.568578281726995,1
63,63,0.179647085438504,0.500658119241457,0.275946486518389,0.32740443263738,0.3707521869541,0.32740443263738,0.550778949622571,0.224638366266427,0.396863440703194,0.558166157871784,1
64,64,0.189344694970213,0.51659922975674,0.277701511658574,0.329648692130585,0.370869614814252,0.329648692130585,0.573264093366883,0.239576439444077,0.399872458378158,0.588693850850414,1
65,65,0.242063192821054,0.604494710671282,0.278531861058995,0.330161838891211,0.36963718146295,0.330161838891211,0.633117404571979,0.28457974851092,0.401019261196399,0.647568687309202,1
66,66,0.198288213558555,0.547360210598157,0.278346766089796,0.328693547279388,0.371840351791502,0.328693547279388,0.583061191712619,0.241372790016073,0.399495996238058,0.599978194505015,1
67,67,0.172686826031219,0.475259591478575,0.282922048693451,0.335778356936286,0.380034579708913,0.335778356936286,0.531505969270304,0.221612933724118,0.417615748710852,0.54562799825556,1
68,68,0.15511650705075,0.443669867888656,0.281765289551311,0.334777713282369,0.379610721051796,0.334777713282369,0.488088227421168,0.196369480949229,0.403441480233058,0.488879197557785,1
69,69,0.166171480280522,0.462925949397943,0.276097489370201,0.327123100499401,0.36963718146295,0.327123100499401,0.515819904705819,0.210740285525196,0.398562209363859,0.515536415176625,1
70,70,0.21000678681849,0.576561205089455,0.278334601535776,0.330622387962773,0.374869990583404,0.330622387962773,0.643235719256919,0.267372600926539,0.396701334230055,0.65105756650676,1
71,71,0.164112812005128,0.460000974991469,0.280742481693309,0.331677616713884,0.378520319493248,0.331677616713884,0.518336099362921,0.211023919826038,0.398796660874598,0.521151330135194,1
72,72,0.218716537214388,0.571247501584361,0.276497981935947,0.327573383162318,0.369677442443573,0.327573383162318,0.628085015257776,0.274085279379786,0.398046416040235,0.636011774967292,1
73,73,0.222630269210467,0.682542777750695,0.275441523293958,0.326553934621416,0.370056566677776,0.326553934621416,0.695379838321109,0.264819892218966,0.393995093934672,0.714784125599651,1
74,74,0.152808988764045,0.362111831521474,0.275340632268248,0.32689795480334,0.370153864047615,0.32689795480334,0.404518443171476,0.194194951309445,0.395168691211284,0.393861753161797,1
75,75,0.177678908076314,0.499049383317896,0.282578859380824,0.333768317837745,0.379253964029051,0.333768317837745,0.547673858343594,0.222369291859696,0.409830618831413,0.559692542520715,1
76,76,0.16971570771435,0.510993028810998,0.275827742583438,0.32749785166442,0.36963718146295,0.32749785166442,0.576636864928529,0.216602061075919,0.396308795414932,0.543992586131705,1
77,77,0.188198476736294,0.534197825769025,0.276852275453019,0.328460541140503,0.36963718146295,0.328460541140503,0.584346057069436,0.237307365037345,0.401792281320377,0.595180985608373,1
78,78,0.18386245381193,0.489884463510944,0.276034783481474,0.327553237425901,0.369649483429251,0.327553237425901,0.536752502810643,0.228325612177366,0.397143442793162,0.553696031399913,1
79,79,0.184789985672272,0.50987178862185,0.276587320459878,0.327769047177082,0.369661785395553,0.327769047177082,0.561700305155522,0.227474709274842,0.39831971951561,0.570540776275622,1
80,80,0.171533066887867,0.494661921708185,0.289426275968892,0.339341801477488,0.39267876434577,0.339341801477488,0.545264735799561,0.215751158173395,0.404538713303315,0.551733536851286,1
81,81,0.192753186034236,0.517379222931799,0.286632885546708,0.340700600729939,0.376137093112465,0.340700600729939,0.558220461480807,0.236078283067032,0.421675109153925,0.573975141735717,1
82,82,0.185053917502451,0.51620923316921,0.277290400849147,0.328649882643249,0.370594498113326,0.328649882643249,0.558113389367739,0.229554694147679,0.404443592976101,0.573484518098561,1
83,83,0.177663826257447,0.538975283966265,0.283725489255767,0.330754397479019,0.382833836222804,0.330754397479019,0.583971304673698,0.225394724402004,0.401489503940795,0.566997383340602,1
84,84,0.202367845562175,0.561010091161702,0.287220826335128,0.338873219317038,0.381368783872346,0.338873219317038,0.615504041972268,0.255270870757304,0.406592508537384,0.609136502398604,1
85,85,0.155946007088455,0.419100082874275,0.282207175444244,0.335129419339176,0.378585184406475,0.335129419339176,0.466513196637936,0.179162333364848,0.400957633942148,0.467291757522896,1
86,86,0.173290098785914,0.490810705406328,0.278978380869972,0.330534211941498,0.372739513692088,0.330534211941498,0.536110070132234,0.218492956414862,0.404416798517731,0.551624509376363,1
87,87,0.156541738933715,0.437283673767854,0.280849407412467,0.330548275053486,0.377246506800751,0.330548275053486,0.493655977300712,0.200151271627115,0.403662534514612,0.50534234627126,1
88,88,0.149438202247191,0.372982986398869,0.275118709097105,0.326695924024903,0.369744544077945,0.326695924024903,0.408533647411532,0.189467712962088,0.394778831841998,0.409507195813345,1
89,89,0.169466857703039,0.470530882854775,0.284806654440326,0.336973495892865,0.378917337496617,0.336973495892865,0.517907810910648,0.209133024487095,0.401465388928262,0.53554295682512,1
90,90,0.182723776487444,0.520791693072686,0.276933128356418,0.328800402918314,0.369698691294458,0.328800402918314,0.584613737352107,0.230878320884939,0.401186726561213,0.598724378543393,1
91,91,0.164497398386245,0.45015356115634,0.277869759170102,0.328050087698257,0.37485657025653,0.328050087698257,0.501418705498153,0.207147584381204,0.395861327960151,0.522350632359355,1
92,92,0.170055048638866,0.484375761712085,0.278188850057416,0.328912934494407,0.373043707767909,0.328912934494407,0.533272659135928,0.217169329677602,0.402195537918848,0.535270388137811,1
93,93,0.197300354422743,0.555257641495637,0.276189646752262,0.327367288151817,0.370270173547194,0.327367288151817,0.600995770651534,0.244398222558381,0.395831854055944,0.614260793720017,1
94,94,0.216507050750321,0.52493540681519,0.281557685050952,0.334553606159777,0.376169525569078,0.334553606159777,0.576958081267734,0.267278056159592,0.398296944225995,0.596489315307457,1
95,95,0.186418822109946,0.502023107297811,0.279098934375699,0.330794651515598,0.371510435422505,0.330794651515598,0.548102146795867,0.229365604613785,0.403023486682484,0.564598778892281,1
96,96,0.153050297865923,0.367376785453127,0.276336404422896,0.327790209813346,0.36963718146295,0.327790209813346,0.410300337277156,0.194573130377234,0.396322192644117,0.409888791975578,1
97,97,0.213618882437222,0.544093989177595,0.277610583102979,0.328846650704554,0.371337089533711,0.328846650704554,0.583435944108357,0.251772714380259,0.398213881405048,0.609954208460532,1
98,98,0.176019908000905,0.50275435089943,0.275545721704568,0.327217315022651,0.36963718146295,0.327217315022651,0.556828524010921,0.225394724402004,0.397041623851355,0.555822067160925,1
99,99,0.154618807028128,0.410471408375177,0.276205622852081,0.327930830241759,0.371518263946516,0.327930830241759,0.45960704534504,0.197125839084807,0.399993033440824,0.471489315307457,1
100,100,0.143669406530428,0.384926631891971,0.280573065391947,0.33302661090544,0.37654082127927,0.33302661090544,0.429573317629423,0.18143140777158,0.397975410725554,0.410488443087658,1
101,101,0.171427494155795,0.487154487398235,0.275330112544695,0.326580084346746,0.36963718146295,0.326580084346746,0.545211199743027,0.217642053512338,0.395728695391219,0.555222416048844,1
102,102,0.170605535027524,0.447959830351484,0.298353554569027,0.345751502800483,0.393995074740037,0.345751502800483,0.491782215322019,0.196085846648388,0.413007101871191,0.54502834714348,1
103,103,0.217675891712541,0.547993955052893,0.277576672709165,0.329661843989518,0.36963718146295,0.329661843989518,0.5913592804754,0.24808546846932,0.400255619132851,0.646205843872656,1
104,104,0.157831234446874,0.443474869594891,0.278843430575735,0.330238159352548,0.373696830342464,0.330238159352548,0.500776272819744,0.204027607071949,0.399104797145854,0.50354339293502,1
105,105,0.195007917954905,0.542436503680593,0.277636134417452,0.329712257810859,0.370511739430933,0.329712257810859,0.596177525563467,0.244681856859223,0.406868491458597,0.613170518970781,1
106,106,0.193009576954981,0.56052259542729,0.280488390698561,0.328468983460316,0.377890682490723,0.328468983460316,0.608972643075111,0.244870946393117,0.401054093992281,0.592400784997819,1
107,107,0.251006711409396,0.57714619997075,0.275443722997032,0.327083285813945,0.36963718146295,0.327083285813945,0.630172921462605,0.304906873404557,0.394642180104311,0.652965547317924,1
108,108,0.143382851971948,0.441329888363477,0.282094335977874,0.329691730452351,0.378960953558959,0.329691730452351,0.492852936452701,0.186347735652832,0.400078775707608,0.493730920191888,1
109,109,0.178146444461202,0.479354555647638,0.279399712251482,0.328196632866355,0.373130939892593,0.328196632866355,0.526741260238771,0.209227569254042,0.397743638660652,0.557893589184474,1
110,110,0.193823995173818,0.569200019499829,0.276198124635093,0.327685472310668,0.36963718146295,0.327685472310668,0.625140532148402,0.243736409189751,0.397519904933262,0.635303096380288,1
111,111,0.157552220797828,0.420123823916541,0.276206606247893,0.327739398203525,0.370876324977689,0.327739398203525,0.451362492638792,0.19769310768649,0.398433595963683,0.44875708678587,1
112,112,0.185016212955282,0.517720469945888,0.279748874071563,0.330500446901683,0.372189280290237,0.330500446901683,0.563092242625408,0.22851470171126,0.399325851427408,0.570268207588312,1
113,113,0.197330518060478,0.531955345390728,0.278086010506349,0.328939498182683,0.373760576895118,0.328939498182683,0.572675196745008,0.239765528977971,0.398473787651238,0.575610553859573,1
114,114,0.172437976019908,0.493004436211183,0.281849552837024,0.333608383038808,0.375009785655013,0.333608383038808,0.532255474061781,0.213860262834452,0.400906724471245,0.544537723506324,1
115,115,0.142990724681397,0.400526495393165,0.278532975546032,0.328596113908375,0.374183317191662,0.328596113908375,0.446704855720328,0.192682235038291,0.396793775111431,0.411415176624509,1
116,116,0.19278334967197,0.506556817627846,0.276718242215372,0.327796839317196,0.369927955211896,0.327796839317196,0.549601156378821,0.230216507516309,0.40005064152632,0.582370257304841,1
117,117,0.156964029862001,0.42997123775167,0.276821650725631,0.328417717859179,0.37288042712427,0.328417717859179,0.469243535521173,0.197125839084807,0.394162559299486,0.473070213693851,1
118,118,0.252243420556519,0.533710330034612,0.29226830880108,0.347607764419378,0.386092738932145,0.347607764419378,0.589324910327105,0.314361350099272,0.438854376137927,0.608100741386829,1
119,119,0.0914184450644748,0.375274216350607,0.275671192295172,0.32734184990915,0.370433454190833,0.32734184990915,0.436265324696183,0.139358986480098,0.394707826527318,0.437527256868731,1
120,120,0.202066209184828,0.563398820260323,0.276119255929842,0.327798946059449,0.36963718146295,0.327798946059449,0.626318325392152,0.256878131795405,0.396825928461476,0.641027038813781,1
121,121,0.177437598974436,0.509823039048408,0.278576171704919,0.330684104101438,0.374328704066135,0.330684104101438,0.567160982921998,0.226718351139264,0.399064605458299,0.571794592237244,1
122,122,0.149883115903778,0.418368839272656,0.288870277598859,0.343384040710584,0.381433648785572,0.343384040710584,0.456662562235666,0.18672591472062,0.415298028061836,0.463693850850414,1
123,123,0.171480280521831,0.475990835080193,0.279185713452927,0.327832633327784,0.371588720662606,0.327832633327784,0.527490765030248,0.215562068639501,0.397935219037999,0.539140863497601,1
124,124,0.263034461956112,0.686637741919758,0.276498668600801,0.328231831344927,0.36963718146295,0.328231831344927,0.758124096579046,0.330623050014182,0.399040490445766,0.765972525076319,1
125,125,0.160561043661866,0.448203578218691,0.279783782470237,0.332309137553268,0.376734297658377,0.332309137553268,0.494244873922587,0.200813084995745,0.404238615369569,0.508395115569123,1
126,126,0.168041625820074,0.476819577828694,0.280812000106342,0.333099292184798,0.378982202409843,0.333099292184798,0.530863536591895,0.212820270398033,0.401895439985102,0.540013083296991,1
127,127,0.181064776412035,0.506508068054405,0.27594523881722,0.327426085740277,0.369772503092267,0.327426085740277,0.563895283473419,0.230405597050203,0.398834173116316,0.569505015263846,1
128,128,0.175507126159415,0.514064251937795,0.276771987415106,0.328264071753657,0.370926651203468,0.328264071753657,0.56587611756518,0.221991112791907,0.397156840022347,0.572666812036633,1
129,129,0.186675213030692,0.52688538975284,0.279356028716559,0.330542188415721,0.373075021863949,0.330542188415721,0.571818619840463,0.229554694147679,0.399455804550503,0.571522023549935,1
130,130,0.153955206997964,0.458830985228879,0.290946191332657,0.331624825028141,0.390325733700454,0.331624825028141,0.520049253172011,0.201947622199111,0.405129531110376,0.522732228521587,1
131,131,0.171774375989744,0.499293131185102,0.281445256086217,0.332489853770135,0.378537094901842,0.332489853770135,0.552438567375127,0.216980240143708,0.402431329152505,0.549007849978195,1
132,132,0.173041248774602,0.497684395261541,0.280468750677721,0.329056331908097,0.377575304809174,0.329056331908097,0.552706247657798,0.218682045948757,0.396174823123082,0.549334932402965,1
133,133,0.183628685619486,0.535562813825379,0.275276156370228,0.326540253817905,0.370203071912822,0.326540253817905,0.595053268376251,0.232769216223882,0.395967166070713,0.588911905800262,1
134,134,0.216982128044642,0.642714376249208,0.276357548871283,0.328206453447631,0.36963718146295,0.328206453447631,0.70260720595321,0.271343481138319,0.404911156274659,0.704753597906672,1
135,135,0.190679435939974,0.506069321893433,0.282372576559358,0.334591227085489,0.373946224750214,0.334591227085489,0.558059853311205,0.239670984211024,0.406747916395931,0.571576537287396,1
136,136,0.179224794510218,0.514600497245649,0.276634628559357,0.328375363532369,0.371083221683669,0.328375363532369,0.565447829112907,0.226907440673159,0.400102890720141,0.570159180113389,1
137,137,0.189646331347561,0.54194900794618,0.28573701845595,0.33753395730842,0.36963718146295,0.33753395730842,0.58557738636972,0.237590999338187,0.399579059059005,0.570649803750545,1
138,138,0.161005957318453,0.438941159264856,0.280388304202089,0.331995788219022,0.372041656694618,0.331995788219022,0.490765030247872,0.205540323343103,0.395932333274832,0.505996511120802,1
139,139,0.172754694216122,0.485984497635646,0.276936819584254,0.327930074370162,0.37251807829866,0.327930074370162,0.534289844210076,0.217736598279285,0.394407728593572,0.542302660270388,1
140,140,0.169210466782294,0.466338419538829,0.282191777476433,0.334620931050612,0.375014259097304,0.334620931050612,0.523850313185931,0.215656613406448,0.411698192579811,0.537887047535979,1
141,141,0.212163486916522,0.59610978403939,0.276861274830523,0.328805311444538,0.370134851917877,0.328805311444538,0.633438620911184,0.257634489930982,0.396867459871949,0.642498909725251,1
142,142,0.166872784857854,0.466484668259153,0.282118851637284,0.335231323023882,0.371571945254013,0.335231323023882,0.516248193158092,0.211874822728562,0.416716794632534,0.529437418229394,1
143,143,0.233164919689315,0.527860381221664,0.281552054186197,0.332216325952896,0.374266075874055,0.332216325952896,0.571283259275122,0.275219816583152,0.406126284961744,0.581334496293066,1
144,144,0.254927984314908,0.577682445278604,0.285572791580129,0.338159723082537,0.377054148782217,0.338159723082537,0.611167621393008,0.293372411837005,0.415244439145096,0.621838203227213,1
145,145,0.173501244250057,0.488031979720177,0.276402671294753,0.328236366534134,0.370595616473899,0.328236366534134,0.533058514909792,0.217452963978444,0.397742298937734,0.544265154819014,1
146,146,0.189412563155117,0.577341198264515,0.275560049693663,0.327155011709718,0.36963718146295,0.327155011709718,0.612559558862894,0.234281932495036,0.398835512839235,0.615460095944178,1
147,147,0.171118316869014,0.485643250621557,0.276574504708779,0.32845166575201,0.36963718146295,0.32845166575201,0.541999036350982,0.217169329677602,0.398597042159741,0.545137374618404,1
148,148,0.188424704019305,0.506898064641934,0.28374163534695,0.33721543911416,0.381439240588437,0.33721543911416,0.563520531077681,0.2388200813085,0.414157923858188,0.581389010030528,1
149,149,0.116009350727698,0.374006727441135,0.277647522542659,0.328220533315492,0.372424136010539,0.328220533315492,0.410782161785963,0.183511392644417,0.39719837143282,0.264827736589621,1
150,150,0.160048261820376,0.490030712231268,0.286702523503933,0.333223487528656,0.387759096185719,0.333223487528656,0.531184752931099,0.203271248936371,0.400871891675364,0.516572176188399,1
151,151,0.19409546791343,0.544776483205772,0.280979455151512,0.329580289978382,0.376985928787272,0.329580289978382,0.599603833181648,0.244587312092276,0.40051686510196,0.59981465329263,1
152,152,0.176442198929191,0.479647053088285,0.292230149423371,0.345706845675584,0.393244654795642,0.345706845675584,0.532683762514053,0.216318426775078,0.412830258445948,0.55952900130833,1
153,153,0.251904079632004,0.660410471408375,0.276237841757746,0.327821058055258,0.36963718146295,0.327821058055258,0.68290593714867,0.293561501370899,0.398053114654827,0.689925861317052,1
154,154,0.16657868938994,0.462292204943207,0.280026866398462,0.331379297148077,0.372538208788972,0.331379297148077,0.517479522458376,0.213482083766663,0.406502747101844,0.526493676406454,1
155,155,0.191606967800317,0.503095597913518,0.285938477640173,0.339610496868432,0.383625635508396,0.339610496868432,0.550618341452969,0.237780088872081,0.418766570697848,0.566016136066289,1
156,156,0.187120126687278,0.52332667089163,0.27924068618951,0.328564586080524,0.374556849623001,0.328564586080524,0.571711547727394,0.233147395291671,0.398485845157505,0.579808111644134,1
157,157,0.222366337380288,0.637936918051967,0.279741168153487,0.332305951385515,0.36963718146295,0.332305951385515,0.686974677445259,0.276637988087359,0.409273294097315,0.695540776275621,1
158,158,0.138405851745721,0.48851947545459,0.275040337873196,0.3265999143056,0.36963718146295,0.3265999143056,0.515873440762353,0.213576628533611,0.394326005495543,0.272405146096816,1
